COD_PRODUCTO;SECCION;NOMBRE;IMPORTADO;ORIGEN;DIA;MES;ANO
1;FERRETERIA;DESTORNILLADOR;FALSO;ESPANA;22;10;2000
2;CONFECCION;TRAJE CABALLERO;VERDADERO;ITALIA;11;3;2002
3;JUGUETERIA;COCHE TELEDIRIGIDO;VERDADERO;MARRUECOS;26;5;2002
4;DEPORTES;RAQUETA TENIS;VERDADERO;USA;20;3;2000
5;DEPORTES;MANCUERNAS;VERDADERO;USA;13;9;2000
6;CONFECCION;SERRUCHO;VERDADERO;FRANCIA;23;3;2001
7;JUGUETERIA;CORREPASILLOS;VERDADERO;JAPON;11;4;2000
8;CONFECCION;PANTALON SENORA;VERDADERO;MARRUECOS;10;1;2000
9;JUGUETERIA;CONSOLA VIDEO;VERDADERO;USA;24;9;2002
10;CERAMICA;TUBOS;VERDADERO;CHINA;4;2;2000
11;FERRETERIA;LLAVE INGLESA;VERDADERO;USA;23;5;2001
12;CONFECCION;CAMISA CABALLERO;FALSO;ESPANA;11;8;2002
13;JUGUETERIA;TREN ELECTRICO;VERDADERO;JAPON;3;7;2001
14;CERAMICA;PLATO DECORATIVO;VERDADERO;CHINA;7;6;2000
15;FERRETERIA;ALICATES;VERDADERO;ITALIA;17;4;2000
16;JUGUETERIA;MUNECA ANDADORA;FALSO;ESPANA;4;1;2001
17;DEPORTES;PISTOLA OLIMPICA;VERDADERO;SUECIA;2;2;2001
18;CONFECCION;BLUSA SRA.;VERDADERO;CHINA;18;3;2000
19;CERAMICA;JUEGO DE TE;VERDADERO;CHINA;15;1;2001
20;CERAMICA;CENICERO;VERDADERO;JAPON;2;7;2001
21;FERRETERIA;MARTILLO;FALSO;ESPANA;4;9;2001
22;CONFECCION;CAZADORA PIEL;VERDADERO;ITALIA;10;7;2001
23;DEPORTES;BALON RUGBY;VERDADERO;USA;11;11;2000
24;DEPORTES;BALON BALONCESTO;VERDADERO;JAPON;25;6;2001
25;JUGUETERIA;FUERTE DE SOLDADOS;VERDADERO;JAPON;25;11;2000
26;CONFECCION;ABRIGO CABALLERO;VERDADERO;ITALIA;5;4;2002
27;DEPORTES;BALON FUTBOL;FALSO;ESPANA;4;7;2002
28;CONFECCION;ABRIGO SRA;VERDADERO;MARRUECOS;3;5;2001
29;FERRETERIA;DESTORNILLADOR;VERDADERO;FRANCIA;20;2;2002
30;JUGUETERIA;PISTOLA CON SONIDOS;FALSO;ESPANA;15;4;2001
31;DEPORTES;CRONOMETRO;VERDADERO;USA;3;1;2002
32;CERAMICA;MACETA;FALSO;ESPANA;23;2;2000
33;OFICINA;PIE DE LAMPARA;VERDADERO;TURQUIA;27;5;2001
34;FERRETERIA;LIMA GRANDE;FALSO;ESPANA;10;8;2002
35;FERRETERIA;JUEGO DE BROCAS;VERDADERO;TAIWAN;4;7;2002
36;CONFECCION;CINTURON DE PIEL;FALSO;ESPANA;12;5;2002
37;DEPORTES;CANA DE PESCA;VERDADERO;USA;14;2;2000
38;CERAMICA;JARRA CHINA;VERDADERO;CHINA;2;9;2002
39;DEPORTES;BOTA ALPINISMO;FALSO;ESPANA;5;5;2002
40;DEPORTES;PALAS DE PING PONG;FALSO;ESPANA;2;2;2002
